Object ID,Object Name,Primary Object Type,Secondary Object Type,Max Potential Damage: Structure,Max Potential Damage: Content,Ground Elevation,X Coordinate,Y Coordinate,Aggregation Label: Census Block,Ground Floor Height,Extraction Method,Damage Function: Structure,Damage Function: Content,geometry,Zoning_map,Land_use_map
573782576,573782576,RES,RES3A,593960.024,296980.012,9.251984225,-79.93031273,32.77256754,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.93031273 32.772567543),SR-3,Neighborhood
573782578,573782578,RES,RES1-3SNB,477276.201,238638.1,8.098226779,-79.92961548,32.77261513,450000000000000.0,1,centroid,RES1-3SNB,RES1-3SNB,POINT (-79.92961548 32.772615132),SR-4,Neighborhood
573782580,573782580,RES,RES1-2SNB,436744.576,218372.288,8.54821683,-79.92966376,32.77274046,450000000000000.0,1,centroid,RES1-2SNB,RES1-2SNB,POINT (-79.92966376 32.772740459),SR-4,Neighborhood
573782584,573782584,RES,RES1-3SNB,591021.743,295510.871,7.90750286,-79.92967998,32.77287786,450000000000000.0,1,centroid,RES1-3SNB,RES1-3SNB,POINT (-79.92967998 32.772877862),SR-4,Neighborhood
573783138,573783138,RES,RES1-2SWB,367456.335,183728.167,5.928459241,-79.92967489,32.77336224,450000000000000.0,1,centroid,RES1-2SWB,RES1-2SWB,POINT (-79.92967489 32.773362242),SR-4,Neighborhood
573783154,573783154,COM,COM4,733092.797,733092.797,9.125375195,-79.92967496,32.77395556,450000000000000.0,1,centroid,COM4,COM4,POINT (-79.92967496 32.773955555),SR-4,Neighborhood
573783160,573783160,RES,RES1-2SNB,217461.254,108730.627,9.598373266,-79.92992314,32.77426492,450000000000000.0,1,centroid,RES1-2SNB,RES1-2SNB,POINT (-79.92992314 32.774264923),SR-3,Neighborhood
573783197,573783197,RES,RES3A,507530.065,253765.032,12.85095816,-79.92938964,32.77475714,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.92938964 32.774757143),SR-5,Neighborhood
573783439,573783439,COM,COM8,409469.433,409469.433,7.835369505,-79.93002946,32.77152879,450000000000000.0,1,centroid,COM8,COM8,POINT (-79.93002946 32.771528793),SR-3,Neighborhood
573785649,573785649,RES,RES3A,499594.49,249797.245,8.833821647,-79.93095318,32.7731191,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.93095318 32.773119101),SR-3,Neighborhood
573785661,573785661,RES,RES1-2SNB,541402.129,270701.064,7.983767084,-79.93104315,32.77331746,450000000000000.0,1,centroid,RES1-2SNB,RES1-2SNB,POINT (-79.93104315 32.773317462),SR-3,Neighborhood
573785683,573785683,RES,RES1-3SWB,562223.385,281111.692,7.016821708,-79.93087598,32.77366066,450000000000000.0,1,centroid,RES1-3SWB,RES1-3SWB,POINT (-79.93087598 32.773660655),SR-3,Neighborhood
573818741,573818741,RES,RES1-1SNB,271445.067,135722.533,5.95393045,-79.92579081,32.77617926,450000000000000.0,1,centroid,RES1-1SNB,RES1-1SNB,POINT (-79.92579081 32.776179259),DR-1F,Neighborhood
573818742,573818742,COM,COM4,2173850.17,2173850.17,10.19355773,-79.92647502,32.77654067,450000000000000.0,1,centroid,COM4,COM4,POINT (-79.92647502 32.776540668),LB,Neighborhood
573818744,573818744,COM,COM4,197499.446,197499.446,11.65877293,-79.9269,32.7765165,450000000000000.0,1,centroid,COM4,COM4,POINT (-79.9269 32.7765165),LB,Neighborhood
573827134,573827134,COM,COM4,8443544.1,8443544.1,13.54706299,-79.92746902,32.77712292,450000000000000.0,1,centroid,COM4,COM4,POINT (-79.92746902 32.777122924),LB,City Centers
573827737,573827737,PUB,GOV1,446128.258,446128.258,12.03318867,-79.92943087,32.77683067,450000000000000.0,1,centroid,GOV1,GOV1,POINT (-79.92943087 32.776830669),LB,City Centers
573827742,573827742,COM,COM8,335888.024,335888.024,12.13528704,-79.92972682,32.77680666,450000000000000.0,1,centroid,COM8,COM8,POINT (-79.92972682 32.776806657),LB,City Centers
573827746,573827746,COM,COM1,280650.588,280650.588,12.13528704,-79.92972682,32.77680666,450000000000000.0,1,centroid,COM1,COM1,POINT (-79.92972682 32.776806657),LB,City Centers
