object_id,object_name,primary_object_type,secondary_object_type,max_damage_structure,max_damage_content,ground_elevtn,Aggregation Label: Census Block,ground_flht,extract_method,fn_damage_structure
573794271,573794271,RES,RES1-2SNB,378929.357,189464.678,4.568563974,4.5019E+14,1,centroid,RES1-2SNB
573794285,573794285,RES,RES1-2SNB,183253.802,91626.9013,4.510254673,4.5019E+14,1,centroid,RES1-2SNB
573794302,573794302,RES,RES1-2SNB,287137.578,143568.789,4.052517581,4.5019E+14,1,centroid,RES1-2SNB
573795536,573795536,RES,RES3A,492636.203,246318.101,3.816137442,4.5019E+14,1,centroid,RES3A
573795546,573795546,RES,RES3B,416840.618,208420.309,3.421852704,4.5019E+14,1,centroid,RES3B
573795554,573795554,RES,RES1-2SNB,334400.76,167200.38,3.360468523,4.5019E+14,1,centroid,RES1-2SNB
573795579,573795579,RES,RES1-2SNB,254541.186,127270.593,4.195087672,4.5019E+14,1,centroid,RES1-2SNB
573795592,573795592,RES,RES1-1SNB,263823.556,131911.778,4.46904025,4.5019E+14,1,centroid,RES1-1SNB
573795685,573795685,RES,RES3A,517321.05,258660.525,4.352511992,4.5019E+14,1,centroid,RES3A
573800696,573800696,PUB,GOV1,679777.358,679777.358,5.665262878,4.5019E+14,1,centroid,GOV1
573800712,573800712,RES,RES3A,341705.939,170852.969,5.153884733,4.5019E+14,1,centroid,RES3A
573800720,573800720,RES,RES3A,519288.95,259644.475,4.597579,4.5019E+14,1,centroid,RES3A
573800722,573800722,RES,RES3A,577111.764,288555.882,4.580693754,4.5019E+14,1,centroid,RES3A
573800730,573800730,RES,RES1-3SWB,628162.192,314081.096,4.723408164,4.5019E+14,1,centroid,RES1-3SWB
573800789,573800789,RES,RES1-3SNB,344665.904,172332.952,6.665427285,4.5019E+14,1,centroid,RES1-3SNB
573800967,573800967,PUB,GOV1,3216601.89,3216601.89,5.737602738,4.5019E+14,1,centroid,GOV1
573806316,573806316,RES,RES1-3SNB,234291.175,117145.587,6.780663717,4.5019E+14,1,centroid,RES1-3SNB
573807482,573807482,RES,RES1-1SWB,161302.127,80651.0637,6.48518385,4.5019E+14,1,centroid,RES1-1SWB
573854165,573854165,RES,RES3A,404879.309,202439.654,8.381402823,4.5019E+14,1,centroid,RES3A
573856087,573856087,RES,RES1-1SNB,196466.376,98233.1884,4.426466731,4.5019E+14,1,centroid,RES1-1SNB
573860086,573860086,RES,RES1-2SWB,499438.347,249719.173,4.527184504,4.5019E+14,1,centroid,RES1-2SWB
573860245,573860245,RES,RES1-2SWB,472699.865,236349.932,4.893218439,4.5019E+14,1,centroid,RES1-2SWB
573860258,573860258,RES,RES3A,433981.459,216990.729,3.623364907,4.5019E+14,1,centroid,RES3A
573860265,573860265,RES,RES1-3SNB,268826.584,134413.292,3.460397434,4.5019E+14,1,centroid,RES1-3SNB
573860275,573860275,RES,RES1-3SNB,372286.188,186143.094,3.208022012,4.5019E+14,1,centroid,RES1-3SNB
573860294,573860294,RES,RES1-3SNB,297494.208,148747.104,3.963719564,4.5019E+14,1,centroid,RES1-3SNB
574268769,574268769,RES,RES1-3SNB,398372.568,199186.284,5.627182001,4.5019E+14,1,centroid,RES1-3SNB
574269131,574269131,RES,RES3A,375748.037,187874.018,4.793584813,4.5019E+14,1,centroid,RES3A
574269133,574269133,RES,RES1-2SNB,296763.093,148381.546,4.061685902,4.5019E+14,1,centroid,RES1-2SNB
574269141,574269141,RES,RES3A,385474.488,192737.244,3.908103814,4.5019E+14,1,centroid,RES3A
574269147,574269147,RES,RES1-2SNB,292608.324,146304.162,4.727736541,4.5019E+14,1,centroid,RES1-2SNB
574269157,574269157,RES,RES1-2SNB,322747.334,161373.667,4.880672521,4.5019E+14,1,centroid,RES1-2SNB
574269163,574269163,RES,RES1-2SNB,263880.868,131940.434,5.570518476,4.5019E+14,1,centroid,RES1-2SNB
574269178,574269178,RES,RES3A,434108.266,217054.133,6.588039021,4.5019E+14,1,centroid,RES3A
574269188,574269188,RES,RES1-2SNB,342192.863,171096.431,7.720457691,4.5019E+14,1,centroid,RES1-2SNB
574269200,574269200,RES,RES1-2SNB,348872.893,174436.446,7.941006617,4.5019E+14,1,centroid,RES1-2SNB
574269208,574269208,RES,RES1-3SNB,304255.44,152127.72,6.632392074,4.5019E+14,1,centroid,RES1-3SNB
574270738,574270738,IND,IND2,139689.642,209534.463,3.530285446,4.5019E+14,1,centroid,IND2
574295708,574295708,RES,RES1-1SNB,202967.576,101483.788,4.551960325,4.5019E+14,1,centroid,RES1-1SNB
574295939,574295939,RES,RES1-2SNB,192072.878,96036.4391,4.021028024,4.5019E+14,1,centroid,RES1-2SNB
574296079,574296079,RES,RES3A,396840.114,198420.057,4.63416585,4.5019E+14,1,centroid,RES3A
574296087,574296087,RES,RES3B,350549.893,175274.946,4.656219569,4.5019E+14,1,centroid,RES3B
574296089,574296089,RES,RES1-3SNB,462461.497,231230.748,3.933932103,4.5019E+14,1,centroid,RES1-3SNB
574296091,574296091,RES,RES3A,606467.792,303233.896,4.553875183,4.5019E+14,1,centroid,RES3A
574296099,574296099,RES,RES1-3SNB,472895.215,236447.607,4.888707806,4.5019E+14,1,centroid,RES1-3SNB
574296101,574296101,RES,RES1-1SNB,326717.546,163358.773,3.682779085,4.5019E+14,1,centroid,RES1-1SNB
574348016,574348016,RES,RES1-2SWB,266457.582,133228.791,4.684602566,4.5019E+14,1,centroid,RES1-2SWB
574372066,574372066,RES,RES1-2SNB,439401.111,219700.555,3.606587607,4.5019E+14,1,centroid,RES1-2SNB
574372074,574372074,RES,RES1-2SNB,333296.728,166648.364,4.407643944,4.5019E+14,1,centroid,RES1-2SNB
