Object ID,Object Name,Primary Object Type,Secondary Object Type,Max Potential Damage: Structure,Max Potential Damage: Content,Ground Elevation,X Coordinate,Y Coordinate,Aggregation Label: Census Block,Finished Floor Height,Extraction Method,Damage Function: Structure,Damage Function: Content
574486868,574486868,RES,RES1-1SNB,151483.316,75741.658,5.233436599,-79.93622307,32.77462093,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
574486892,574486892,RES,RES1-1SNB,199346.645,99673.3225,10.9658955,-79.93218159,32.77550656,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
574372378,574372378,RES,RES1-3SNB,275317.367,137658.683,11.55386484,-79.92697274,32.77580358,4.5019E+14,1,centroid,RES1-3SNB,RES1-3SNB
574421614,574421614,PUB,REL1,1834696.67,1834696.67,-4.999869299,-79.92477287,32.77526062,4.5019E+14,1,centroid,REL1,REL1
574437143,574437143,COM,COM2,642736.815,642736.815,9.078115437,-79.92640322,32.77682337,4.5019E+14,1,centroid,COM2,COM2
574446459,574446459,RES,RES1-3SNB,483801.666,241900.833,-4.999869299,-79.9250907,32.77448563,4.5019E+14,1,centroid,RES1-3SNB,RES1-3SNB
574488867,574488867,RES,RES1-2SNB,261232.301,130616.15,9.352340616,-79.92766193,32.77348685,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
573782570,573782570,RES,RES1-2SNB,319100.1,159550.05,8.620308729,-79.9296748,32.77241042,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
573783130,573783130,RES,RES1-2SNB,359597.275,179798.637,12.57236197,-79.9295957,32.77468989,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
573783164,573783164,RES,RES1-3SNB,456923.213,228461.606,8.737245693,-79.93049625,32.77434486,4.5019E+14,1,centroid,RES1-3SNB,RES1-3SNB
573783427,573783427,RES,RES1-3SWB,780064.073,390032.036,7.003932399,-79.93010789,32.7710552,4.5019E+14,1,centroid,RES1-3SWB,RES1-3SWB
573783441,573783441,RES,RES1-2SNB,438450.77,219225.385,7.641946951,-79.9295781,32.77161083,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
573783447,573783447,RES,RES3A,483101.436,241550.718,8.568949392,-79.9295716,32.77192977,4.5019E+14,1,centroid,RES3A,RES3A
573785448,573785448,COM,COM1,570343.785,570343.785,11.88090505,-79.93178469,32.77655612,4.5019E+14,1,centroid,COM1,COM1
573785816,573785816,RES,RES1-2SNB,342424.316,171212.158,10.15392143,-79.93316494,32.77483616,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
573785864,573785864,RES,RES1-2SNB,160586.772,80293.3862,11.29505786,-79.93294774,32.77600494,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
573785925,573785925,RES,RES3A,719359.22,359679.61,6.964915604,-79.93359647,32.7731106,4.5019E+14,1,centroid,RES3A,RES3A
573785962,573785962,RES,RES1-2SNB,316735.013,158367.506,9.731189158,-79.93269833,32.77410207,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
573789014,573789014,RES,RES1-3SNB,556818.256,278409.128,6.491396187,-79.93414417,32.77250666,4.5019E+14,1,centroid,RES1-3SNB,RES1-3SNB
573789019,573789019,RES,RES1-2SNB,286631.996,143315.998,5.509031042,-79.93546136,32.77287517,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
573789026,573789026,RES,RES3A,558479.221,279239.61,6.404198188,-79.93555996,32.77344252,4.5019E+14,1,centroid,RES3A,RES3A
573789160,573789160,COM,RES4,377058.032,188529.016,6.82018504,-79.93504335,32.77587383,4.5019E+14,1,centroid,RES4,RES4
573789173,573789173,RES,RES3A,302633.914,151316.957,6.443332314,-79.93721769,32.77645577,4.5019E+14,1,centroid,RES3A,RES3A
